Date,BlueNile_m3|s
1960-01-31,445.7
1960-02-29,236.8
1960-03-31,161.6
1960-04-30,137.4
1960-05-31,190.3
1960-06-30,511.9
1960-07-31,3257.0
1960-08-31,5854.0
1960-09-30,5299.0
1960-10-31,2396.0
1960-11-30,963.72
1960-12-31,494.4
1961-01-31,289.7
1961-02-28,227.4
1961-03-31,138.1
1961-04-30,216.1
1961-05-31,117.03
1961-06-30,375.92
1961-07-31,2953.48
1961-08-31,6076.64
1961-09-30,5575.26
1961-10-31,3273.26
1961-11-30,1335.96
1961-12-31,877.4
1962-01-31,448.0
1962-02-28,248.0
1962-03-31,168.0
1962-04-30,88.73
1962-05-31,186.7
1962-06-30,708.17
1962-07-31,2546.67
1962-08-31,3987.58
1962-09-30,5919.35
1962-10-31,3481.23
1962-11-30,1053.23
1962-12-31,559.85
1963-01-31,330.14
1963-02-28,200.32
1963-03-31,137.75
1963-04-30,157.54
1963-05-31,470.08
1963-06-30,600.03
1963-07-31,1889.3
1963-08-31,6233.0
1963-09-30,4487.0
1963-10-31,1859.0
1963-11-30,884.7
1963-12-31,595.13
1964-01-31,353.99
1964-02-29,216.46
1964-03-31,120.73
1964-04-30,161.3
1964-05-31,163.9
1964-06-30,613.83
1964-07-31,3816.29
1964-08-31,6537.65
1964-09-30,5307.14
1964-10-31,3708.44
1964-11-30,1387.18
1964-12-31,736.59
1965-01-31,425.61
1965-02-28,279.94
1965-03-31,174.06
1965-04-30,194.3
1965-05-31,99.27
1965-06-30,922.38
1965-07-31,2204.74
1965-08-31,4740.91
1965-09-30,3452.69
1965-10-31,2705.03
1965-11-30,932.5
1965-12-31,533.7
1966-01-31,241.5
1966-02-28,222.4
1966-03-31,131.7
1966-04-30,117.7
1966-05-31,129.7
1966-06-30,624.79
1966-07-31,2387.33
1966-08-31,4895.16
1966-09-30,4587.75
1966-10-31,1867.23
1966-11-30,845.6
1966-12-31,439.0
1967-01-31,301.6
1967-02-28,169.2
1967-03-31,132.1
1967-04-30,169.3
1967-05-31,307.8
1967-06-30,554.0
1967-07-31,3132.84
1967-08-31,5527.88
1967-09-30,5024.21
1967-10-31,3682.37
1967-11-30,1405.07
1967-12-31,754.53
1968-01-31,366.32
1968-02-29,241.48
1968-03-31,155.25
1968-04-30,145.94
1968-05-31,207.87
1968-06-30,986.16
1968-07-31,2905.37
1968-08-31,5158.53
1968-09-30,3588.31
1968-10-31,2330.78
1968-11-30,808.37
1968-12-31,431.96
1969-01-31,294.49
1969-02-28,214.43
1969-03-31,305.73
1969-04-30,168.29
1969-05-31,220.3
1969-06-30,667.6
1969-07-31,2790.01
1969-08-31,6769.89
1969-09-30,4124.26
1969-10-31,1602.2
