Date,Rahad_m3|s
1912-01-31,1e-06
1912-02-29,1e-06
1912-03-31,1e-06
1912-04-30,1e-06
1912-05-31,1e-06
1912-06-30,1e-06
1912-07-31,45.9104953429784
1912-08-31,205.24691284722223
1912-09-30,165.50925962577162
1912-10-31,12.731481758487654
1912-11-30,1e-06
1912-12-31,1e-06
1913-01-31,1e-06
1913-02-28,1e-06
1913-03-31,1e-06
1913-04-30,1e-06
1913-05-31,1e-06
1913-06-30,1e-06
1913-07-31,75.23148148148148
1913-08-31,125.77160640817901
1913-09-30,139.66049126157407
1913-10-31,4.629629699074074
1913-11-30,1e-06
1913-12-31,1e-06
1914-01-31,1e-06
1914-02-28,1e-06
1914-03-31,1e-06
1914-04-30,1e-06
1914-05-31,1e-06
1914-06-30,1e-06
1914-07-31,41.666666255787035
1914-08-31,170.13889035493827
1914-09-30,206.01852438271604
1914-10-31,107.63888925925926
1914-11-30,16.589506450617282
1914-12-31,4.629629699074074
1915-01-31,1e-06
1915-02-28,1e-06
1915-03-31,1e-06
1915-04-30,1e-06
1915-05-31,1e-06
1915-06-30,33.564815914351854
1915-07-31,16.203703425925926
1915-08-31,125.77160640046297
1915-09-30,174.76851558641974
1915-10-31,80.43981261574073
1915-11-30,1e-06
1915-12-31,1e-06
1916-01-31,1e-06
1916-02-29,1e-06
1916-03-31,1e-06
1916-04-30,1e-06
1916-05-31,1e-06
1916-06-30,1e-06
1916-07-31,96.64352016782408
1916-08-31,171.29629849537037
1916-09-30,229.1666652006173
1916-10-31,192.12963402777777
1916-11-30,16.203703425925926
1916-12-31,1e-06
1917-01-31,1e-06
1917-02-28,1e-06
1917-03-31,1e-06
1917-04-30,1e-06
1917-05-31,1e-06
1917-06-30,1e-06
1917-07-31,42.43827160493827
1917-08-31,100.30864013888889
1917-09-30,194.05863904320987
1917-10-31,103.39506016666667
1917-11-30,1e-06
1917-12-31,1e-06
1918-01-31,1e-06
1918-02-28,1e-06
1918-03-31,1e-06
1918-04-30,1e-06
1918-05-31,1e-06
1918-06-30,1e-06
1918-07-31,32.021604525848765
1918-08-31,140.81789756944443
1918-09-30,87.9629627816358
