"Date","Abay at Ethio-Sudan Border (Monthly Discharge originally in m3|s) - Infilled"
"1960-01-01","445.7"
"1960-02-01","236.8"
"1960-03-01","161.6"
"1960-04-01","137.4"
"1960-05-01","190.3"
"1960-06-01","511.9"
"1960-07-01","3257"
"1960-08-01","5854"
"1960-09-01","5299"
"1960-10-01","2396"
"1960-11-01","963.72"
"1960-12-01","494.4"
"1961-01-01","289.7"
"1961-02-01","227.4"
"1961-03-01","138.1"
"1961-04-01","216.1"
"1961-05-01","117.03"
"1961-06-01","375.92"
"1961-07-01","2953.48"
"1961-08-01","6076.64"
"1961-09-01","5575.26"
"1961-10-01","3273.26"
"1961-11-01","1335.96"
"1961-12-01","877.4"
"1962-01-01","448"
"1962-02-01","248"
"1962-03-01","168"
"1962-04-01","88.73"
"1962-05-01","186.7"
"1962-06-01","708.17"
"1962-07-01","2546.67"
"1962-08-01","3987.58"
"1962-09-01","5919.35"
"1962-10-01","3481.23"
"1962-11-01","1053.23"
"1962-12-01","559.85"
"1963-01-01","330.14"
"1963-02-01","200.32"
"1963-03-01","137.75"
"1963-04-01","157.54"
"1963-05-01","470.08"
"1963-06-01","600.03"
"1963-07-01","1889.3"
"1963-08-01","6233"
"1963-09-01","4487"
"1963-10-01","1859"
"1963-11-01","884.7"
"1963-12-01","595.13"
"1964-01-01","353.99"
"1964-02-01","216.46"
"1964-03-01","120.73"
"1964-04-01","161.3"
"1964-05-01","163.9"
"1964-06-01","613.83"
"1964-07-01","3816.29"
"1964-08-01","6537.65"
"1964-09-01","5307.14"
"1964-10-01","3708.44"
"1964-11-01","1387.18"
"1964-12-01","736.59"
"1965-01-01","425.61"
"1965-02-01","279.94"
"1965-03-01","174.06"
"1965-04-01","194.3"
"1965-05-01","99.27"
"1965-06-01","922.38"
"1965-07-01","2204.74"
"1965-08-01","4740.91"
"1965-09-01","3452.69"
"1965-10-01","2705.03"
"1965-11-01","932.5"
"1965-12-01","533.7"
"1966-01-01","241.5"
"1966-02-01","222.4"
"1966-03-01","131.7"
"1966-04-01","117.7"
"1966-05-01","129.7"
"1966-06-01","624.79"
"1966-07-01","2387.33"
"1966-08-01","4895.16"
"1966-09-01","4587.75"
"1966-10-01","1867.23"
"1966-11-01","845.6"
"1966-12-01","439"
"1967-01-01","301.6"
"1967-02-01","169.2"
"1967-03-01","132.1"
"1967-04-01","169.3"
"1967-05-01","307.8"
"1967-06-01","554"
"1967-07-01","3132.84"
"1967-08-01","5527.88"
"1967-09-01","5024.21"
"1967-10-01","3682.37"
"1967-11-01","1405.07"
"1967-12-01","754.53"
"1968-01-01","366.32"
"1968-02-01","241.48"
"1968-03-01","155.25"
"1968-04-01","145.94"
"1968-05-01","207.87"
"1968-06-01","986.16"
"1968-07-01","2905.37"
"1968-08-01","5158.53"
"1968-09-01","3588.31"
"1968-10-01","2330.78"
"1968-11-01","808.37"
"1968-12-01","431.96"
"1969-01-01","294.49"
"1969-02-01","214.43"
"1969-03-01","305.73"
"1969-04-01","168.29"
"1969-05-01","220.3"
"1969-06-01","667.6"
"1969-07-01","2790.01"
"1969-08-01","6769.89"
"1969-09-01","4124.26"
"1969-10-01","1602.2"
"1969-11-01","738.53"
"1969-12-01","384.19"
"1970-01-01","237.79"
"1970-02-01","175.32"
"1970-03-01","129.41"
"1970-04-01","121.46"
"1970-05-01","148.2"
"1970-06-01","744.4"
"1970-07-01","2713.06"
"1970-08-01","6406.75"
"1970-09-01","4470.2"
"1970-10-01","2601.58"
"1970-11-01","1010.06"
"1970-12-01","466.5"
"1971-01-01","283.4"
"1971-02-01","159.01"
"1971-03-01","102.37"
"1971-04-01","102.37"
"1971-05-01","173.77"
"1971-06-01","603.69"
"1971-07-01","2468.07"
"1971-08-01","5769.92"
"1971-09-01","4276.16"
"1971-10-01","2170.54"
"1971-11-01","1118.57"
"1971-12-01","518.44"
"1972-01-01","307.46"
"1972-02-01","176.51"
"1972-03-01","108.41"
"1972-04-01","123.69"
"1972-05-01","178.59"
"1972-06-01","472.2"
"1972-07-01","1967.53"
"1972-08-01","3693.42"
"1972-09-01","2824.69"
"1972-10-01","1304.97"
"1972-11-01","681.38"
"1972-12-01","324.25"
"1973-01-01","212.49"
"1973-02-01","136.6"
"1973-03-01","93.44"
"1973-04-01","80.99"
"1973-05-01","259.56"
"1973-06-01","609.97"
"1973-07-01","1929.8"
"1973-08-01","6223.24"
"1973-09-01","4496.6"
"1973-10-01","2242.73"
"1973-11-01","867.38"
"1973-12-01","433.81"
"1974-01-01","288.95"
"1974-02-01","190.38"
"1974-03-01","158.21"
"1974-04-01","122.45"
"1974-05-01","294.61"
"1974-06-01","768.27"
"1974-07-01","3209.62"
"1974-08-01","6174.13"
"1974-09-01","4689.01"
"1974-10-01","2179.33"
"1974-11-01","870.03"
"1974-12-01","477.82"
"1975-01-01","582.3"
"1975-02-01","471.63"
"1975-03-01","167.35"
"1975-04-01","118.92"
"1975-05-01","161.6"
"1975-06-01","1453.32"
"1975-07-01","6018.16"
"1975-08-01","6519.52"
"1975-09-01","2812.56"
"1975-10-01","1551.35"
"1975-11-01","1054.15"
"1975-12-01","574.36"
"1976-01-01","473.31"
"1976-02-01","304.51"
"1976-03-01","219.98"
"1976-04-01","173.6"
"1976-05-01","263.73"
"1976-06-01","684.34"
"1976-07-01","2592.45"
"1976-08-01","4906.9"
"1976-09-01","5071.51"
"1976-10-01","2784.8"
"1976-11-01","796.1"
"1976-12-01","536.14"
"1977-01-01","386.34"
"1977-02-01","434.47"
"1977-03-01","259.75"
"1977-04-01","181.8"
"1977-05-01","266.2"
"1977-06-01","672.12"
"1977-07-01","2870.18"
"1977-08-01","5068.68"
"1977-09-01","4278.04"
"1977-10-01","2419.85"
"1977-11-01","1551.13"
"1977-12-01","654.44"
"1978-01-01","527.34"
"1978-02-01","230.24"
"1978-03-01","185.96"
"1978-04-01","164.69"
"1978-05-01","258.66"
"1978-06-01","659.52"
"1978-07-01","2752.98"
"1978-08-01","4682.31"
"1978-09-01","4261.12"
"1978-10-01","2871.37"
"1978-11-01","930.7"
"1978-12-01","514.62"
"1979-01-01","389.96"
"1979-02-01","254.28"
"1979-03-01","165.18"
"1979-04-01","138.74"
"1979-05-01","341.69"
"1979-06-01","669.69"
"1979-07-01","2043.59"
"1979-08-01","4551.06"
"1979-09-01","3367.09"
"1979-10-01","1602.98"
"1979-11-01","877.31"
"1979-12-01","518.2"
"1980-01-01","279.6"
"1980-02-01","148.48"
"1980-03-01","111.32"
"1980-04-01","112.25"
"1980-05-01","131.24"
"1980-06-01","627.45"
"1980-07-01","2465"
"1980-08-01","5367.9"
"1980-09-01","5943.7"
"1980-10-01","2661.74"
"1980-11-01","1034"
"1980-12-01","531.4"
"1981-01-01","335"
"1981-02-01","264.2"
"1981-03-01","258.68"
"1981-04-01","218.67"
"1981-05-01","274.78"
"1981-06-01","882.3"
"1981-07-01","3465.88"
"1981-08-01","5191.35"
"1981-09-01","4730.77"
"1981-10-01","2237.52"
"1981-11-01","908.39"
"1981-12-01","446.5"
