"Date","Atbara at Kilo 3 (Monthly Discharge originally in Mm3) - Observed"
"1903-01-31","-"
"1903-02-28","-"
"1903-03-31","-"
"1903-04-30","-"
"1903-05-31","-"
"1903-06-30","289"
"1903-07-31","1430"
"1903-08-31","6100"
"1903-09-30","5190"
"1903-10-31","1340"
"1903-11-30","-"
"1903-12-31","-"
"1904-01-31","-"
"1904-02-29","-"
"1904-03-31","-"
"1904-04-30","-"
"1904-05-31","-"
"1904-06-30","38"
"1904-07-31","2030"
"1904-08-31","3470"
"1904-09-30","1810"
"1904-10-31","268"
"1904-11-30","52"
"1904-12-31","-"
"1905-01-31","-"
"1905-02-28","-"
"1905-03-31","-"
"1905-04-30","-"
"1905-05-31","-"
"1905-06-30","165"
"1905-07-31","1740"
"1905-08-31","4410"
"1905-09-30","4200"
"1905-10-31","783"
"1905-11-30","-"
"1905-12-31","-"
"1906-01-31","-"
"1906-02-28","-"
"1906-03-31","-"
"1906-04-30","-"
"1906-05-31","-"
"1906-06-30","22.8"
"1906-07-31","1690"
"1906-08-31","5650"
"1906-09-30","4420"
"1906-10-31","938"
"1906-11-30","-"
"1906-12-31","-"
"1907-01-31","-"
"1907-02-28","-"
"1907-03-31","-"
"1907-04-30","-"
"1907-05-31","-"
"1907-06-30","112"
"1907-07-31","1980"
"1907-08-31","4740"
"1907-09-30","3690"
"1907-10-31","679"
"1907-11-30","225"
"1907-12-31","87.2"
"1908-01-31","41"
"1908-02-29","12.6"
"1908-03-31","-"
"1908-04-30","-"
"1908-05-31","-"
"1908-06-30","977"
"1908-07-31","2300"
"1908-08-31","7480"
"1908-09-30","5650"
"1908-10-31","1480"
"1908-11-30","351"
"1908-12-31","127"
"1909-01-31","50.3"
"1909-02-28","20.2"
"1909-03-31","2"
"1909-04-30","4"
"1909-05-31","19.4"
"1909-06-30","583"
"1909-07-31","1720"
"1909-08-31","7120"
"1909-09-30","5010"
"1909-10-31","1110"
"1909-11-30","264"
"1909-12-31","94.2"
"1910-01-31","39"
"1910-02-28","7.2"
"1910-03-31","-"
"1910-04-30","-"
"1910-05-31","-"
"1910-06-30","65.2"
"1910-07-31","1260"
"1910-08-31","7450"
"1910-09-30","5570"
"1910-10-31","2040"
"1910-11-30","401"
"1910-12-31","119"
"1911-01-31","50.2"
"1911-02-28","13.4"
"1911-03-31","-"
"1911-04-30","-"
"1911-05-31","-"
"1911-06-30","124"
"1911-07-31","1020"
"1911-08-31","5230"
"1911-09-30","4850"
"1911-10-31","798"
"1911-11-30","332"
"1911-12-31","89"
"1912-01-31","33.7"
"1912-02-29","8.6"
"1912-03-31","-"
"1912-04-30","-"
"1912-05-31","-"
"1912-06-30","135.214"
"1912-07-31","2140"
"1912-08-31","6670"
"1912-09-30","3480"
"1912-10-31","449"
"1912-11-30","144"
"1912-12-31","49.2"
"1913-01-31","34"
"1913-02-28","3"
"1913-03-31","-"
"1913-04-30","-"
"1913-05-31","-"
"1913-06-30","-"
"1913-07-31","593"
"1913-08-31","2350"
"1913-09-30","1690"
"1913-10-31","210"
"1913-11-30","32"
"1913-12-31","5"
"1914-01-31","-"
"1914-02-28","-"
"1914-03-31","-"
"1914-04-30","-"
"1914-05-31","-"
"1914-06-30","10.7"
"1914-07-31","1690"
"1914-08-31","6780"
"1914-09-30","3450"
"1914-10-31","1160"
"1914-11-30","355"
"1914-12-31","84.7"
"1915-01-31","28.5"
"1915-02-28","6"
"1915-03-31","-"
"1915-04-30","-"
"1915-05-31","-"
"1915-06-30","146"
"1915-07-31","935"
"1915-08-31","3240"
"1915-09-30","2930"
"1915-10-31","755"
"1915-11-30","155"
"1915-12-31","37.7"
