"Date","Atbara at Kilo 3 (ten-daily discharge originally in MM3|day)"
"1903-01-01","-"
"1903-01-11","-"
"1903-01-21","-"
"1903-02-01","-"
"1903-02-11","-"
"1903-02-21","-"
"1903-03-01","-"
"1903-03-11","-"
"1903-03-21","-"
"1903-04-01","-"
"1903-04-11","-"
"1903-04-21","-"
"1903-05-01","-"
"1903-05-11","-"
"1903-05-21","-"
"1903-06-01","2900000.095"
"1903-06-11","6500000"
"1903-06-21","19600000.38"
"1903-07-01","40599998.47"
"1903-07-11","40299999.24"
"1903-07-21","56299999.24"
"1903-08-01","119000000"
"1903-08-11","207000000"
"1903-08-21","258000000"
"1903-09-01","227000000"
"1903-09-11","167000000"
"1903-09-21","125000000"
"1903-10-01","71300003.05"
"1903-10-11","38299999.24"
"1903-10-21","22500000"
"1903-11-01","-"
"1903-11-11","-"
"1903-11-21","-"
"1903-12-01","-"
"1903-12-11","-"
"1903-12-21","-"
"1904-01-01","-"
"1904-01-11","-"
"1904-01-21","-"
"1904-02-01","-"
"1904-02-11","-"
"1904-02-21","-"
"1904-03-01","-"
"1904-03-11","-"
"1904-03-21","-"
"1904-04-01","-"
"1904-04-11","-"
"1904-04-21","-"
"1904-05-01","-"
"1904-05-11","-"
"1904-05-21","-"
"1904-06-01","-"
"1904-06-11","899999.9762"
"1904-06-21","2900000.095"
"1904-07-01","18500000"
"1904-07-11","68000000"
"1904-07-21","106000000"
"1904-08-01","160000000"
"1904-08-11","91699996.95"
"1904-08-21","86099998.47"
"1904-09-01","84500000"
"1904-09-11","65300003.05"
"1904-09-21","31299999.24"
"1904-10-01","16100000.38"
"1904-10-11","7000000"
"1904-10-21","3400000.095"
"1904-11-01","2700000.048"
"1904-11-11","2000000"
"1904-11-21","500000"
"1904-12-01","-"
"1904-12-11","-"
"1904-12-21","-"
"1905-01-01","-"
"1905-01-11","-"
"1905-01-21","-"
"1905-02-01","-"
"1905-02-11","-"
"1905-02-21","-"
"1905-03-01","-"
"1905-03-11","-"
"1905-03-21","-"
"1905-04-01","-"
"1905-04-11","-"
"1905-04-21","-"
"1905-05-01","-"
"1905-05-11","-"
"1905-05-21","-"
"1905-06-01","-"
"1905-06-11","-"
"1905-06-21","16500000"
"1905-07-01","25100000.38"
"1905-07-11","48400001.53"
"1905-07-21","91699996.95"
"1905-08-01","83699996.95"
"1905-08-11","171000000"
"1905-08-21","169000000"
"1905-09-01","188000000"
"1905-09-11","152000000"
"1905-09-21","79099998.47"
"1905-10-01","41799999.24"
"1905-10-11","19899999.62"
"1905-10-21","15100000.38"
"1905-11-01","-"
"1905-11-11","-"
"1905-11-21","-"
"1905-12-01","-"
"1905-12-11","-"
"1905-12-21","-"
"1906-01-01","-"
"1906-01-11","-"
"1906-01-21","-"
"1906-02-01","-"
"1906-02-11","-"
"1906-02-21","-"
"1906-03-01","-"
