"Date","Blue Nile at Deim (ten-daily discharge originally in MM3|day)"
"1983-01-01","20100000.38"
"1983-01-11","16200000.76"
"1983-01-21","14000000"
"1983-02-01","10300000.19"
"1983-02-11","10899999.62"
"1983-02-21","9199999.809"
"1983-03-01","7800000.191"
"1983-03-11","7099999.905"
"1983-03-21","9199999.809"
"1983-04-01","7199999.809"
"1983-04-11","6099999.905"
"1983-04-21","8899999.619"
"1983-05-01","6099999.905"
"1983-05-11","10899999.62"
"1983-05-21","24200000.76"
"1983-06-01","35099998.47"
"1983-06-11","35799999.24"
"1983-06-21","48200000.76"
"1983-07-01","87900001.53"
"1983-07-11","107000000"
"1983-07-21","177000000"
"1983-08-01","295000000"
"1983-08-11","438000000"
"1983-08-21","510000000"
"1983-09-01","405000000"
"1983-09-11","335000000"
"1983-09-21","258000000"
"1983-10-01","232000000"
"1983-10-11","198000000"
"1983-10-21","142000000"
"1983-11-01","87900001.53"
"1983-11-11","76800003.05"
"1983-11-21","68300003.05"
"1983-12-01","45099998.47"
"1983-12-11","34700000.76"
"1983-12-21","27899999.62"
"1984-01-01","22100000.38"
"1984-01-11","18200000.76"
"1984-01-21","12800000.19"
"1984-02-01","12100000.38"
"1984-02-11","9300000.191"
"1984-02-21","5800000.191"
"1984-03-01","5500000"
"1984-03-11","5099999.905"
"1984-03-21","4199999.809"
"1984-04-01","3500000"
"1984-04-11","3799999.952"
"1984-04-21","3599999.905"
"1984-05-01","3599999.905"
"1984-05-11","3799999.952"
"1984-05-21","19100000.38"
"1984-06-01","39799999.24"
"1984-06-11","60099998.47"
"1984-06-21","94900001.53"
"1984-07-01","113000000"
"1984-07-11","216000000"
"1984-07-21","265000000"
"1984-08-01","336000000"
"1984-08-11","269000000"
"1984-08-21","244000000"
"1984-09-01","267000000"
"1984-09-11","265000000"
"1984-09-21","194000000"
"1984-10-01","120000000"
"1984-10-11","80099998.47"
"1984-10-21","56799999.24"
"1984-11-01","44799999.24"
"1984-11-11","35700000.76"
"1984-11-21","28299999.24"
"1984-12-01","23200000.76"
"1984-12-11","18100000.38"
"1984-12-21","15199999.81"
"1985-01-01","12100000.38"
"1985-01-11","9000000"
"1985-01-21","6800000.191"
"1985-02-01","6800000.191"
"1985-02-11","5500000"
"1985-02-21","5099999.905"
"1985-03-01","4199999.809"
"1985-03-11","4199999.809"
"1985-03-21","4099999.905"
"1985-04-01","6099999.905"
"1985-04-11","6000000"
"1985-04-21","5500000"
"1985-05-01","8899999.619"
"1985-05-11","29399999.62"
"1985-05-21","36099998.47"
"1985-06-01","32000000"
"1985-06-11","62299999.24"
"1985-06-21","67099998.47"
"1985-07-01","111000000"
"1985-07-11","166000000"
"1985-07-21","282000000"
"1985-08-01","459000000"
"1985-08-11","449000000"
"1985-08-21","554000000"
"1985-09-01","619000000"
"1985-09-11","390000000"
"1985-09-21","309000000"
"1985-10-01","208000000"
"1985-10-11","152000000"
"1985-10-21","95000000"
"1985-11-01","78699996.95"
"1985-11-11","62200000.76"
"1985-11-21","50099998.47"
"1985-12-01","41799999.24"
"1985-12-11","36799999.24"
"1985-12-21","28200000.76"
"1986-01-01","22000000"
"1986-01-11","18200000.76"
"1986-01-21","14100000.38"
"1986-02-01","12100000.38"
"1986-02-11","9800000.191"
"1986-02-21","8899999.619"
"1986-03-01","9000000"
"1986-03-11","8899999.619"
"1986-03-21","6000000"
"1986-04-01","7000000"
"1986-04-11","9800000.191"
"1986-04-21","8899999.619"
"1986-05-01","6000000"
"1986-05-11","4599999.905"
"1986-05-21","4500000"
"1986-06-01","16000000"
"1986-06-11","47099998.47"
"1986-06-21","77599998.47"
"1986-07-01","152000000"
"1986-07-11","163000000"
"1986-07-21","305000000"
"1986-08-01","370000000"
"1986-08-11","307000000"
"1986-08-21","283000000"
"1986-09-01","325000000"
"1986-09-11","312000000"
"1986-09-21","224000000"
"1986-10-01","180000000"
"1986-10-11","106000000"
"1986-10-21","87000000"
"1986-11-01","66000000"
"1986-11-11","49000000"
"1986-11-21","40000000"
"1986-12-01","32000000"
"1986-12-11","25000000"
"1986-12-21","20000000"
"1987-01-01","14000000"
"1987-01-11","12000000"
"1987-01-21","10000000"
"1987-02-01","8000000"
"1987-02-11","7000000"
"1987-02-21","6000000"
"1987-03-01","7000000"
"1987-03-11","16000000"
"1987-03-21","7000000"
"1987-04-01","8000000"
"1987-04-11","10000000"
"1987-04-21","8000000"
"1987-05-01","5000000"
"1987-05-11","12000000"
"1987-05-21","52000000"
"1987-06-01","92000000"
"1987-06-11","82000000"
