"Date","Dinder near its mouth into Blue Nile (at Hillet ldreis) (ten-daily discharge originally in MM3|day)"
"1907-06-21","3500000"
"1907-07-01","7699999.809"
"1907-07-11","14300000.19"
"1907-07-21","14000000"
"1907-08-01","12399999.62"
"1907-08-11","9000000"
"1907-08-21","16000000"
"1907-09-01","18399999.62"
"1907-09-11","15899999.62"
"1907-09-21","13199999.81"
"1907-10-01","3099999.905"
"1907-10-11","4099999.905"
"1908-06-21","4099999.905"
"1908-07-01","3599999.905"
"1908-07-11","10300000.19"
"1908-07-21","14899999.62"
"1908-08-01","25799999.24"
"1908-08-11","61500000"
"1908-08-21","60000000"
"1908-09-01","63900001.53"
"1908-09-11","44900001.53"
"1908-09-21","44400001.53"
"1908-10-01","22899999.62"
"1908-10-11","12000000"
"1908-10-21","6599999.905"
"1908-11-01","3299999.952"
"1908-11-11","1600000.024"
"1908-11-21","800000.0119"
"1909-06-01","5900000.095"
"1909-06-11","10500000"
"1909-06-21","7099999.905"
"1909-07-01","6000000"
"1909-07-11","18000000"
"1909-07-21","13600000.38"
"1909-08-01","37099998.47"
"1909-08-11","46799999.24"
"1909-08-21","43500000"
"1909-09-01","34000000"
"1909-09-11","50799999.24"
"1909-09-21","47700000.76"
"1909-10-01","23899999.62"
"1909-10-11","14500000"
"1909-10-21","5400000.095"
"1910-07-01","6000000"
"1910-07-11","8100000.381"
"1910-07-21","21500000"
"1910-08-01","22899999.62"
"1910-08-11","34299999.24"
"1910-08-21","34000000"
"1910-09-01","43500000"
"1910-09-11","38000000"
"1910-09-21","41700000.76"
"1910-10-01","30700000.76"
"1910-10-11","31100000.38"
"1910-10-21","21600000.38"
"1910-11-01","8100000.381"
"1910-11-11","3900000.095"
"1910-11-21","1899999.976"
"1910-12-01","899999.9762"
"1911-06-01","600000.0238"
"1911-06-21","1399999.976"
"1911-07-01","699999.9881"
"1911-07-11","4400000.095"
"1911-07-21","7300000.191"
"1911-08-01","25700000.76"
"1911-08-11","27299999.24"
"1911-08-21","39099998.47"
"1911-09-01","54000000"
"1911-09-11","43799999.24"
"1911-09-21","28899999.62"
"1911-10-01","18000000"
"1911-10-11","16000000"
