"Date","Rahad near its mouth into Blue Nile (at Abu Haraz) (ten-daily discharge originally in MM3|day)"
"1908-07-11","4900000.095"
"1908-07-21","7300000.191"
"1908-08-01","9699999.809"
"1908-08-11","18000000"
"1908-08-21","20200000.76"
"1908-09-01","21100000.38"
"1908-09-11","22100000.38"
"1908-09-21","22000000"
"1908-10-01","21299999.24"
"1908-10-11","15100000.38"
"1908-10-21","4400000.095"
"1908-11-01","2599999.905"
"1908-11-11","1600000.024"
"1908-11-21","1200000.048"
"1908-12-01","800000.0119"
"1908-12-11","500000"
"1908-12-21","300000.0119"
"1909-06-11","3500000"
"1909-06-21","1899999.976"
"1909-07-01","6599999.905"
"1909-07-11","10500000"
"1909-07-21","7800000.191"
"1909-08-01","15000000"
"1909-08-11","18200000.76"
"1909-08-21","20200000.76"
"1909-09-01","20899999.62"
"1909-09-11","21299999.24"
"1909-09-21","21299999.24"
"1909-10-01","20200000.76"
"1909-10-11","10899999.62"
"1909-10-21","5300000.191"
"1909-11-01","3299999.952"
"1909-11-11","2599999.905"
"1909-11-21","1799999.952"
"1909-12-01","1299999.952"
"1910-07-11","1600000.024"
"1910-07-21","9300000.191"
"1910-08-01","10600000.38"
"1910-08-11","16799999.24"
"1910-08-21","18299999.24"
"1910-09-01","19500000"
"1910-09-11","20399999.62"
"1910-09-21","20299999.24"
"1910-10-01","19600000.38"
"1910-10-11","16799999.24"
"1910-10-21","15699999.81"
"1910-11-01","3500000"
"1910-11-11","2200000.048"
"1910-11-21","1299999.952"
"1910-12-01","1000000"
"1910-12-11","699999.9881"
"1910-12-21","500000"
"1911-07-01","500000"
"1911-07-11","1799999.952"
"1911-10-01","7000000"
"1911-10-21","1899999.976"
"1911-11-01","1700000.048"
"1912-07-01","800000.0119"
"1912-07-11","3000000"
"1912-07-21","8100000.381"
"1912-08-01","15699999.81"
"1912-08-11","18100000.38"
"1912-08-21","19399999.62"
"1912-09-01","19600000.38"
"1912-09-11","15699999.81"
"1912-09-21","7599999.905"
"1912-10-01","2200000.048"
"1912-10-11","600000.0238"
"1912-10-21","500000"
"1913-07-21","6500000"
"1913-08-01","6800000.191"
"1913-08-11","12500000"
"1913-08-21","13300000.19"
"1913-09-01","16799999.24"
"1913-09-11","14300000.19"
"1913-09-21","5099999.905"
"1913-10-01","400000.006"
"1914-07-11","1100000.024"
"1914-07-21","6099999.905"
"1914-08-01","10500000"
