"Date","White Nile at Mogren (Khartoum) (ten-daily discharge originally in MM3|day)"
"1911-01-01","101000000"
"1911-01-11","103000000"
"1911-01-21","103000000"
"1911-02-01","96500000"
"1911-02-11","81900001.53"
"1911-02-21","67500000"
"1911-03-01","61599998.47"
"1911-03-11","60299999.24"
"1911-03-21","55500000"
"1911-04-01","50700000.76"
"1911-04-11","48599998.47"
"1911-04-21","46400001.53"
"1911-05-01","46500000"
"1911-05-11","47099998.47"
"1911-05-21","53700000.76"
"1911-06-01","60299999.24"
"1911-06-11","60700000.76"
"1911-06-21","60200000.76"
"1911-07-01","57700000.76"
"1911-07-11","49099998.47"
"1911-07-21","66000000"
"1911-12-01","100000000"
"1911-12-11","93400001.53"
"1911-12-21","86099998.47"
"1912-01-01","70400001.53"
"1912-01-11","67099998.47"
"1912-01-21","63099998.47"
"1912-02-01","58299999.24"
"1912-02-11","53200000.76"
"1912-02-21","48000000"
"1912-03-01","44099998.47"
"1912-03-11","41299999.24"
"1912-03-21","40000000"
"1912-04-01","40200000.76"
"1912-04-11","39900001.53"
"1912-04-21","39700000.76"
"1912-05-01","39200000.76"
"1912-05-11","38400001.53"
"1912-05-21","37700000.76"
"1912-06-01","37200000.76"
"1912-06-11","39000000"
"1912-06-21","45799999.24"
"1912-07-01","51900001.53"
"1912-07-11","56599998.47"
"1912-07-21","60299999.24"
"1912-10-21","102000000"
"1912-11-01","98900001.53"
"1912-11-11","106000000"
"1912-11-21","104000000"
"1912-12-01","97099998.47"
"1912-12-11","92800003.05"
"1912-12-21","91599998.47"
"1913-01-01","79800003.05"
"1913-01-11","70199996.95"
"1913-01-21","59000000"
"1913-02-01","52700000.76"
"1913-02-11","48099998.47"
"1913-02-21","46299999.24"
"1913-03-01","42099998.47"
"1913-03-11","42500000"
"1913-03-21","42900001.53"
"1913-04-01","39700000.76"
"1913-04-11","40599998.47"
"1913-04-21","38299999.24"
"1913-05-01","41000000"
"1913-05-11","40200000.76"
"1913-05-21","45200000.76"
"1913-06-01","48299999.24"
"1913-06-11","50099998.47"
"1913-06-21","53599998.47"
"1913-07-01","51500000"
"1913-07-11","49400001.53"
"1913-07-21","55000000"
"1913-08-01","56200000.76"
"1913-10-01","86400001.53"
