"Date","White Nile downstream of Jebel Aulia Dam (ten-daily discharge originally in MM3|day)"
"1944-02-01","71199996.95"
"1944-02-11","79800003.05"
"1944-02-21","80599998.47"
"1944-03-01","80599998.47"
"1944-03-11","80000000"
"1944-03-21","77500000"
"1944-04-01","74300003.05"
"1944-04-11","71199996.95"
"1944-04-21","62200000.76"
"1944-05-01","43900001.53"
"1944-05-11","42099998.47"
"1944-05-21","48799999.24"
"1944-06-01","55099998.47"
"1944-06-11","61000000"
"1944-06-21","62900001.53"
"1945-04-21","47299999.24"
"1945-05-01","34599998.47"
"1945-05-11","31299999.24"
"1945-05-21","33900001.53"
"1948-01-01","85800003.05"
"1948-01-11","86800003.05"
"1948-01-21","87000000"
"1948-02-01","80400001.53"
"1948-02-11","60599998.47"
"1948-02-21","73300003.05"
"1948-03-01","74199996.95"
"1948-03-11","74599998.47"
"1948-03-21","74900001.53"
"1948-04-01","77000000"
"1948-04-11","79900001.53"
"1948-04-21","79599998.47"
"1948-05-01","76599998.47"
"1948-05-11","49900001.53"
"1948-05-21","44000000"
"1948-06-01","46500000"
"1948-06-11","48500000"
"1948-06-21","57299999.24"
"1948-07-01","30500000"
"1948-07-11","-"
"1948-07-21","26200000.76"
"1948-08-01","41500000"
"1948-08-11","57200000.76"
"1948-08-21","81300003.05"
"1948-09-01","45200000.76"
"1948-09-11","40700000.76"
"1948-09-21","49400001.53"
"1948-10-01","80800003.05"
"1948-10-11","84000000"
"1948-10-21","91900001.53"
"1948-11-01","89800003.05"
"1948-11-11","86199996.95"
"1948-11-21","82800003.05"
"1948-12-01","81400001.53"
"1948-12-11","81400001.53"
"1948-12-21","81000000"
"1949-01-01","81000000"
"1949-01-11","81400001.53"
"1949-01-21","82199996.95"
"1949-02-01","76900001.53"
"1949-02-11","65000000"
"1949-02-21","62799999.24"
"1949-03-01","76500000"
"1949-03-11","79800003.05"
"1949-03-21","80300003.05"
"1949-04-01","79500000"
"1949-04-11","77900001.53"
"1949-04-21","78599998.47"
"1949-05-01","79300003.05"
"1949-05-11","79099998.47"
"1949-05-21","48799999.24"
"1949-06-01","45599998.47"
"1949-06-11","48400001.53"
"1949-06-21","47299999.24"
"1949-07-01","57700000.76"
"1949-07-11","47500000"
"1949-07-21","5699999.809"
"1949-08-01","-"
"1949-08-11","14100000.38"
"1949-08-21","81400001.53"
"1949-09-01","49000000"
"1949-09-11","45500000"
"1949-09-21","57599998.47"
"1949-10-01","85099998.47"
"1949-10-11","93599998.47"
"1949-10-21","96099998.47"
"1949-11-01","98400001.53"
"1949-11-11","26399999.62"
"1949-11-21","90300003.05"
"1949-12-01","85900001.53"
"1949-12-11","85000000"
"1949-12-21","86099998.47"
"1950-01-01","84800003.05"
"1950-01-11","85000000"
"1950-01-21","86900001.53"
"1950-02-01","81099998.47"
"1950-02-11","70300003.05"
"1950-02-21","61799999.24"
"1950-03-01","78099998.47"
"1950-03-11","81599998.47"
"1950-03-21","81699996.95"
"1950-04-01","79300003.05"
"1950-04-11","78800003.05"
"1950-04-21","78800003.05"
"1950-05-01","79000000"
"1950-05-11","70900001.53"
"1950-05-21","55599998.47"
"1950-06-01","55000000"
"1950-06-11","54299999.24"
"1950-06-21","54400001.53"
"1950-07-01","59099998.47"
"1950-07-11","47200000.76"
"1950-07-21","-"
"1950-08-01","-"
"1950-08-11","53500000"
"1950-08-21","79000000"
"1950-09-01","47099998.47"
"1950-09-11","45500000"
"1950-09-21","73000000"
"1950-10-01","83400001.53"
"1950-10-11","82900001.53"
"1950-10-21","86599998.47"
"1950-11-01","89900001.53"
"1950-11-11","92500000"
"1950-11-21","88599998.47"
"1950-12-01","85800003.05"
"1950-12-11","84900001.53"
"1950-12-21","84699996.95"
"1951-01-01","86699996.95"
"1951-01-11","83199996.95"
"1951-01-21","65800003.05"
"1951-02-01","51599998.47"
"1951-02-11","56500000"
"1951-02-21","66400001.53"
"1951-03-01","76000000"
"1951-03-11","79500000"
"1951-03-21","80699996.95"
"1951-04-01","80400001.53"
"1951-04-11","79500000"
"1951-04-21","79599998.47"
"1951-05-01","54400001.53"
"1951-05-11","37799999.24"
"1951-05-21","33700000.76"
"1951-06-01","38299999.24"
"1951-06-11","42900001.53"
"1951-06-21","49000000"
"1951-07-01","51700000.76"
"1951-07-11","53599998.47"
"1951-07-21","7400000.095"
"1951-08-01","-"
"1951-08-11","-"
"1951-08-21","46700000.76"
"1951-09-01","40299999.24"
"1951-09-11","32099998.47"
"1951-09-21","51900001.53"
"1951-10-01","71800003.05"
"1951-10-11","71000000"
"1951-10-21","71800003.05"
"1951-11-01","70599998.47"
"1951-11-11","71099998.47"
"1951-11-21","72699996.95"
"1951-12-01","69800003.05"
"1951-12-11","69599998.47"
